,ToZone,Trips,Hour
927,100531,436.845236,h10
928,100532,289.821065,h10
929,100533,397.485128,h10
930,100534,493.846554,h10
931,100535,691.06887,h10
932,100536,521.839339,h10
933,100537,126.052508,h10
934,100538,2376.809341,h10
935,100539,1244.428469,h10
936,100540,675.200467,h10
937,100541,1456.76189,h10
938,100542,188.391681,h10
939,100543,386.821321,h10
940,100544,1752.070351,h10
941,100545,1942.275944,h10
942,100546,362.07313,h10
943,100547,883.321894,h10
944,100548,1447.540841,h10
945,100549,1086.744152,h10
946,100550,130.567451,h10
947,100551,17.648069,h10
948,100552,35.970517,h10
949,100553,61.234632,h10
950,100554,270.209136,h10
951,100555,756.342948,h10
952,100556,96.862159,h10
953,100557,1098.700051,h10
954,100558,715.189068,h10
955,100559,612.582509,h10
956,100560,54.545408,h10
957,100561,122.23126,h10
958,100562,388.36647,h10
959,100563,685.314992,h10
960,100564,4.654253,h10
961,100565,1104.61538,h10
962,100566,444.460825,h10
963,100569,166.361015,h10
964,100570,193.447735,h10
965,100571,88.234812,h10
966,100572,309.18728,h10
967,100573,472.86777,h10
968,100574,694.718017,h10
969,100575,653.913167,h10
970,100576,297.079837,h10
971,100577,393.240615,h10
972,100578,830.72441,h10
973,100579,168.311416,h10
974,100580,639.789378,h10
975,100581,1422.43629,h10
976,100582,639.323333,h10
977,100583,141.507436,h10
978,100584,1470.84149,h10
979,100585,15.161947,h10
980,100586,331.714685,h10
981,100587,1609.165235,h10
982,100598,590.204472,h10
983,100667,452.033081,h10
984,100668,158.91989,h10
985,100669,265.543325,h10
986,100793,141.649877,h10
987,100799,935.116848,h10
988,101258,496.14187,h10
989,101260,902.096662,h10
990,100439,1310.026685,h11
991,100505,649.974455,h11
992,100506,295.444437,h11
993,100507,62.813755,h11
994,100508,334.344169,h11
995,100509,964.421057,h11
996,100510,367.488985,h11
997,100511,295.263059,h11
998,100512,400.690465,h11
999,100513,208.662361,h11
1000,100514,779.710217,h11
1001,100515,532.331907,h11
1002,100516,458.922107,h11
1003,100517,597.862682,h11
1004,100518,1995.02472,h11
1005,100519,686.90787,h11
1006,100520,587.841419,h11
1007,100521,1442.474793,h11
1008,100522,892.661625,h11
1009,100523,406.624546,h11
1010,100524,260.264934,h11
1011,100525,325.101369,h11
1012,100526,555.381067,h11
1013,100527,724.375846,h11
1014,100528,615.417566,h11
1015,100529,336.382138,h11
1016,100530,472.440805,h11
1017,100531,407.877943,h11
1018,100532,342.876878,h11
1019,100533,495.594261,h11
1020,100534,589.598163,h11
1021,100535,779.382271,h11
1022,100536,559.819358,h11
1023,100537,123.463951,h11
1024,100538,2194.539183,h11
1025,100539,1126.665533,h11
1026,100540,616.069685,h11
1027,100541,1380.731992,h11
1028,100542,185.551476,h11
1029,100543,385.509932,h11
1030,100544,1661.511543,h11
1031,100545,1879.441704,h11
1032,100546,344.428938,h11
1033,100547,844.016245,h11
1034,100548,1342.983948,h11
1035,100549,984.566559,h11
1036,100550,129.04343,h11
1037,100551,17.470764,h11
1038,100552,33.649333,h11
1039,100553,59.480007,h11
1040,100554,278.402697,h11
1041,100555,733.497541,h11
1042,100556,92.659637,h11
1043,100557,1070.434039,h11
1044,100558,669.255156,h11
1045,100559,600.0869,h11
1046,100560,61.690151,h11
1047,100561,119.049277,h11
1048,100562,354.67227,h11
1049,100563,761.301471,h11
1050,100564,6.147885,h11
1051,100565,1211.494502,h11
